query_validation,#Scan#
Monohydroxy_stage1,90409
Monohydroxy_stage1,90842
Monohydroxy_stage1,90856
Monohydroxy_stage1,91107
Monohydroxy_stage1,92853
Monohydroxy_stage1,94522
Monohydroxy_stage1,94539
Monohydroxy_stage1,96379
Monohydroxy_stage1,97490
Monohydroxy_stage1,98448
Monohydroxy_stage1,98563
Monohydroxy_stage1,98630
Monohydroxy_stage1,98723
Monohydroxy_stage1,98739
Monohydroxy_stage1,98742
Monohydroxy_stage1,101659
Monohydroxy_stage1,102512
Monohydroxy_stage1,102581
Monohydroxy_stage1,107150
Monohydroxy_stage1,108617
Monohydroxy_stage1,108923
Monohydroxy_stage1,109387
Monohydroxy_stage1,109395
Monohydroxy_stage1,109665
Monohydroxy_stage1,110171
Monohydroxy_stage1,111178
Monohydroxy_stage1,112813
Monohydroxy_stage1,114867
Monohydroxy_stage1,114989
Monohydroxy_stage1,115175
Monohydroxy_stage1,116008
Monohydroxy_stage1,116439
Monohydroxy_stage1,116512
Monohydroxy_stage1,116517
Monohydroxy_stage1,116536
Monohydroxy_stage1,117590
Monohydroxy_stage1,119524
Monohydroxy_stage1,120750
Monohydroxy_stage1,120891
Monohydroxy_stage1,121058
Monohydroxy_stage1,121090
Monohydroxy_stage1,121692
Monohydroxy_stage1,122732
Monohydroxy_stage1,122735
Monohydroxy_stage1,122838
Monohydroxy_stage1,122842
Monohydroxy_stage1,122843
Monohydroxy_stage1,122846
Monohydroxy_stage1,122865
Monohydroxy_stage1,122869
Monohydroxy_stage1,122870
Monohydroxy_stage1,122890
Monohydroxy_stage1,122895
Monohydroxy_stage1,122916
Monohydroxy_stage1,122919
Monohydroxy_stage1,122931
Monohydroxy_stage1,122932
Monohydroxy_stage1,122938
Monohydroxy_stage1,123688
Monohydroxy_stage1,125151
Monohydroxy_stage1,126626
Monohydroxy_stage1,126843
Monohydroxy_stage1,127563
Monohydroxy_stage1,127928
Monohydroxy_stage1,127935
Monohydroxy_stage1,127948
Monohydroxy_stage1,128814
Monohydroxy_stage1,128836
Monohydroxy_stage2,nan
Mono-3a-OH,81575
Mono-3a-OH,81758
Mono-3a-OH,83372
Mono-3a-OH,85828
Mono-3a-OH,88590
Mono-3a-OH,88933
Mono-3a-OH,90060
Mono-3a-OH,90136
Mono-3a-OH,90627
Mono-3a-OH,91056
Mono-3a-OH,91479
Mono-3a-OH,91965
Mono-3a-OH,92199
Mono-3a-OH,92307
Mono-3a-OH,92889
Mono-3a-OH,93625
Mono-3a-OH,93640
Mono-3a-OH,93670
Mono-3a-OH,93837
Mono-3a-OH,94072
Mono-3a-OH,94394
Mono-3a-OH,94522
Mono-3a-OH,94539
Mono-3a-OH,94716
Mono-3a-OH,95037
Mono-3a-OH,95103
Mono-3a-OH,95417
Mono-3a-OH,95779
Mono-3a-OH,96234
Mono-3a-OH,96421
Mono-3a-OH,97571
Mono-3a-OH,98279
Mono-3a-OH,98713
Mono-3a-OH,98788
Mono-3a-OH,98796
Mono-3a-OH,98799
Mono-3a-OH,98800
Mono-3a-OH,98917
Mono-3a-OH,99261
Mono-3a-OH,99288
Mono-3a-OH,99332
Mono-3a-OH,99604
Mono-3a-OH,99659
Mono-3a-OH,99763
Mono-3a-OH,99807
Mono-3a-OH,100108
Mono-3a-OH,101286
Mono-3a-OH,101659
Mono-3a-OH,101834
Mono-3a-OH,101877
Mono-3a-OH,102274
Mono-3a-OH,102393
Mono-3a-OH,102656
Mono-3a-OH,102707
Mono-3a-OH,102883
Mono-3a-OH,102886
Mono-3a-OH,104099
Mono-3a-OH,104542
Mono-3a-OH,104776
Mono-3a-OH,105142
Mono-3a-OH,105190
Mono-3a-OH,106229
Mono-3a-OH,106230
Mono-3a-OH,106231
Mono-3a-OH,106574
Mono-3a-OH,106580
Mono-3a-OH,106671
Mono-3a-OH,106817
Mono-3a-OH,107150
Mono-3a-OH,107246
Mono-3a-OH,107440
Mono-3a-OH,107446
Mono-3a-OH,107755
Mono-3a-OH,107868
Mono-3a-OH,107869
Mono-3a-OH,108349
Mono-3a-OH,108353
Mono-3a-OH,108914
Mono-3a-OH,108923
Mono-3a-OH,109011
Mono-3a-OH,110171
Mono-3a-OH,110261
Mono-3a-OH,110833
Mono-3a-OH,110963
Mono-3a-OH,111801
Mono-3a-OH,111818
Mono-3a-OH,111838
Mono-3a-OH,111843
Mono-3a-OH,111852
Mono-3a-OH,111905
Mono-3a-OH,111906
Mono-3a-OH,111962
Mono-3a-OH,111969
Mono-3a-OH,112371
Mono-3a-OH,112400
Mono-3a-OH,112499
Mono-3a-OH,113933
Mono-3a-OH,114327
Mono-3a-OH,114674
Mono-3a-OH,115149
Mono-3a-OH,115175
Mono-3a-OH,115873
Mono-3a-OH,116008
Mono-3a-OH,116512
